timestamp,frame,vehicles,cars,motorcycles,buses,trucks,density,right_direction,left_direction,flow_rate
2026-09-04 22:22:52,50,8,1,0,0,0,MODERATE,0,1,30.00
2026-09-04 22:22:58,100,10,3,0,0,1,HIGH,2,2,60.00
2026-09-04 22:23:05,150,6,4,0,0,1,MODERATE,2,3,50.00
2026-09-04 22:23:12,200,11,4,0,0,1,HIGH,2,3,37.50
2026-09-04 22:23:18,250,10,4,0,0,1,HIGH,2,3,30.00
2026-09-04 22:23:25,300,7,5,0,0,1,MODERATE,3,3,30.00
2026-09-04 22:23:32,350,12,5,0,0,1,HIGH,3,3,25.71
2026-09-04 22:23:40,400,10,5,0,0,1,HIGH,3,3,22.50
2026-09-04 22:23:47,450,10,6,0,0,2,HIGH,4,4,26.67
2026-09-04 22:23:54,500,11,6,0,0,2,HIGH,4,4,24.00
2026-09-04 22:33:09,50,8,1,0,0,0,MODERATE,0,1,30.00
2026-09-04 22:33:15,100,10,3,0,0,1,HIGH,2,2,60.00
2026-09-04 22:33:21,150,6,4,0,0,1,MODERATE,2,3,50.00
2026-09-04 22:33:27,200,11,4,0,0,1,HIGH,2,3,37.50
2026-09-04 22:33:33,250,10,4,0,0,1,HIGH,2,3,30.00
2026-09-04 22:33:39,300,7,5,0,0,1,MODERATE,3,3,30.00
2026-09-04 22:33:45,350,12,5,0,0,1,HIGH,3,3,25.71
2026-09-04 22:33:51,400,10,5,0,0,1,HIGH,3,3,22.50
2026-09-04 22:33:57,450,10,6,0,0,2,HIGH,4,4,26.67
2026-09-04 22:34:03,500,11,6,0,0,2,HIGH,4,4,24.00
2026-09-04 23:05:58,50,8,7,0,0,1,MODERATE,0,1,30.00
2026-09-04 23:06:06,100,10,9,0,0,1,HIGH,2,2,60.00
2026-09-04 23:06:13,150,6,4,0,1,1,MODERATE,2,3,50.00
2026-09-04 23:06:20,200,11,7,0,2,2,HIGH,2,3,37.50
2026-09-04 23:06:28,250,10,8,0,1,1,HIGH,2,3,30.00
2026-09-04 23:06:37,300,7,5,2,0,0,MODERATE,3,3,30.00
2026-09-04 23:06:47,350,12,10,1,0,1,HIGH,3,3,25.71
2026-09-04 23:06:57,400,10,9,1,0,0,HIGH,3,3,22.50
2026-09-04 23:07:06,450,10,8,1,0,1,HIGH,4,4,26.67
2026-09-04 23:07:15,500,11,8,2,0,1,HIGH,4,4,24.00
2026-09-05 17:04:35,50,8,7,0,0,1,MODERATE,0,1,30.00
2026-09-05 17:04:44,100,10,9,0,0,1,HIGH,2,2,60.00
2026-09-05 17:04:53,150,6,4,0,1,1,MODERATE,2,3,50.00
2026-09-05 17:05:03,200,11,7,0,2,2,HIGH,2,3,37.50
2026-09-05 17:05:17,250,10,8,0,1,1,HIGH,2,3,30.00
2026-09-05 17:05:31,300,7,5,2,0,0,MODERATE,3,3,30.00
2026-09-05 17:05:40,350,12,10,1,0,1,HIGH,3,3,25.71
2026-09-05 17:05:49,400,10,9,1,0,0,HIGH,3,3,22.50
2026-09-05 17:05:59,450,10,8,1,0,1,HIGH,4,4,26.67
2026-09-05 17:06:08,500,11,8,2,0,1,HIGH,4,4,24.00
2026-09-05 17:51:37,50,8,7,0,0,1,MODERATE,0,1,30.00
2026-09-05 17:51:44,100,10,9,0,0,1,HIGH,2,2,60.00
2026-09-05 17:51:52,150,6,4,0,1,1,MODERATE,2,3,50.00
2026-09-05 17:52:00,200,11,7,0,2,2,HIGH,2,3,37.50
2026-09-05 17:52:10,250,10,8,0,1,1,HIGH,2,3,30.00
2026-09-05 17:52:19,300,7,5,2,0,0,MODERATE,3,3,30.00
2026-09-05 17:52:29,350,12,10,1,0,1,HIGH,3,3,25.71
2026-09-05 17:52:39,400,10,9,1,0,0,HIGH,3,3,22.50
2026-09-05 17:52:48,450,10,8,1,0,1,HIGH,4,4,26.67
2026-09-05 17:52:57,500,11,8,2,0,1,HIGH,4,4,24.00
